품번,품명,재질,사이즈,현재단가,기존도수(자동파싱),입력도수
B0396,스낵24 더쫀득 고구마바 22g 파우치,PET12 / AL6 / NY15 / CPR3 50,W70*H175,33,,
B0398,스낵24 더말랭 고구마 60g 파우치,PET12 / AL6 / NY15 / CPP70(D/R합지),130*155*밑지40,70,,
B0399,이더스 쫀득 꿀 고구마말랭이 60g 1차파우치,무광 PET12 / AL7 / NY15 / CPR3 70,130*155+밑지40,94,,
B0404,리얼 스위트포테이토스틱 20g 파우치,PET16 / AL7 / NY양면15 / CPR3 70=108M / 삼방가공 / 무광9도,70*175,50,9도,
B0406,이더스 한입 꿀 고구마말랭이 80g 파우치,PET양면12 / DR / AL7 / DR / NY양면15 / DR / CPR3 70 = 104M,145*170+밑지70,122,,
B177,착한상점 구수하게 끓여먹는 솥뚜껑 누룽지 500g 파우치,양면PET16/LLDPE114/지퍼스탠드,230*280+밑지70,144,,
B184,자연다움 닭 한마리 간편 삼계재료 35g*3입 PP,PP튜브(투명)60,360*225+40=이접-풀발이-핫멜트,88,,
B186,자연다움 찹쌀 삼계재료 200g*3입 PP,PP튜브(투명)60,500*270+40=이접-풀발이-핫멜트,128,,
B187,찹쌀 누룽지 삼계재료 220g 파우치,패트(유무광)100,200*275+50=삼방스탠드-지퍼,128,,
B188,라이트잇 간편하게  끓여먹는 구수한 누룽지 1kg 파우치,양면PET16/LLDPE104/지퍼스탠드,265*330+밑지100,194,,
B189,라이트잇 간편하게 끓여먹는 구수한 누룽지 2kg 파우치,양면PET16/LLDPE115/지퍼스탠드,320*400+밑지100,275,,
B190,라이트잇 간편하게 끓여먹는 구수한 누룽지 3kg 파우치,양면PET12/LLDPE118/지퍼삼방,355*490,284,,
B191,자연다움 우리쌀로 만든 구수한 솥뚜껑 누룽지 1kg 파우치,양면PET16/LLDPE104/지퍼스탠드,265*330+밑지100,231,,
B192,자연다움 우리쌀로 만든 구수한 솥뚜껑 누룽지 2kg 파우치,양면PET16/LLDPE115/지퍼스탠드,320*400+밑지100,290,,
B193,착한상점 구수하게 끓여먹는 솥뚜껑 누룽지 3kg 파우치,양면PET12/LLDPE118/지퍼삼방,355*490,274,,
C0025,오븐에 구운 고구마말랭이 90g*4입 PP,PP튜브(투명)60,380*200+40=이접-풀발이-핫멜트,90,,
D0264,주전부리 누룽지빠삭 330g 리드지,PET12/PE이지필50/PE20/자동롤,240*500M(210*240),8,,
ZQ01,착한상점 유기농 현미누룽지 1kg 용기라벨,유포지,,190,,
ZQ01,착한상점 유기농 쌀누룽지 1kg 용기라벨,유포지,,190,,
✖️,와우작 시리즈 파우치,패증착(유무광)100,150*220+40=삼방스탠드-타원밑지일체형-지퍼,,,
